# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=100
# for k=1.045e-05 to 208.72 h/Mpc,
# number of wavenumbers equal to 135
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                    9:t_g                   10:t_b                   11:t_cdm                 12:t_ur                  13:t_tot              
       1.045004358465e-05      -1.550860704747e+00      -1.163145528645e+00      -1.163145528648e+00      -1.550860704731e+00      -1.174318172918e+00       6.122883255787e-01       5.968104963982e-01       1.505221357799e-08       1.505242335596e-08       1.505242433977e-08       1.505219845458e-08       1.505241593647e-08 
       1.315582542307e-05      -1.550855649566e+00      -1.163141737095e+00      -1.163141737087e+00      -1.550855649569e+00      -1.174314344894e+00       6.122916376366e-01       5.968135180169e-01       2.385665644158e-08       2.385662337199e-08       2.385662127757e-08       2.385664792803e-08       2.385662279345e-08 
       1.656220293823e-05      -1.550867241360e+00      -1.163150430969e+00      -1.163150430954e+00      -1.550867241352e+00      -1.174323122356e+00       6.122919858404e-01       5.968139337218e-01       3.780999078069e-08       3.781020832798e-08       3.781020462232e-08       3.780995858824e-08       3.781019653078e-08 
       2.085057815424e-05      -1.550891123291e+00      -1.163168342774e+00      -1.163168342756e+00      -1.550891123226e+00      -1.174341206199e+00       6.122911600350e-01       5.968133229447e-01       5.992362185097e-08       5.992504581727e-08       5.992504162974e-08       5.992350905925e-08       5.992498645407e-08 
       2.624932268897e-05      -1.550926735065e+00      -1.163195052436e+00      -1.163195052410e+00      -1.550926734852e+00      -1.174368172422e+00       6.122904107804e-01       5.968128139495e-01       9.497041950717e-08       9.497475133728e-08       9.497474581526e-08       9.497010149263e-08       9.497457701404e-08 
       3.304593937553e-05      -1.550980575890e+00      -1.163235435174e+00      -1.163235435135e+00      -1.550980575295e+00      -1.174408942939e+00       6.122898730557e-01       5.968125976609e-01       1.505132114937e-07       1.505248853428e-07       1.505248772674e-07       1.505123704035e-07       1.505244213501e-07 
       4.160237283646e-05      -1.551086930454e+00      -1.163315210013e+00      -1.163315210125e+00      -1.551086928509e+00      -1.174489483806e+00       6.122837629090e-01       5.968074694897e-01       2.385267645923e-07       2.385639918259e-07       2.385640494575e-07       2.385243080901e-07       2.385625835437e-07 
       5.237428435475e-05      -1.551214344549e+00      -1.163410785863e+00      -1.163410785947e+00      -1.551214340087e+00      -1.174585977091e+00       6.122843659125e-01       5.968088002644e-01       3.780126822720e-07       3.780995680674e-07       3.780996053976e-07       3.780068617786e-07       3.780962008276e-07 
       6.593531749873e-05      -1.551440850374e+00      -1.163580710354e+00      -1.163580710754e+00      -1.551440838663e+00      -1.174757532282e+00       6.122791718381e-01       5.968052346465e-01       5.990193514410e-07       5.992447399151e-07       5.992448816906e-07       5.990043785426e-07       5.992360435725e-07 
       8.300764673387e-05      -1.551808712951e+00      -1.163856727821e+00      -1.163856729416e+00      -1.551808682133e+00      -1.175036197224e+00       6.122687032533e-01       5.967975258568e-01       9.491411904478e-07       9.497290148135e-07       9.497295368032e-07       9.491025753722e-07       9.497064649868e-07 
       1.045004358465e-04      -1.552380562815e+00      -1.164285914322e+00      -1.164285918677e+00      -1.552380484622e+00      -1.175469496597e+00       6.122548673732e-01       5.967878423190e-01       1.503709713915e-06       1.505200267393e-06       1.505201671245e-06       1.503612178051e-06       1.505143158764e-06 
       1.315582542307e-04      -1.553274527700e+00      -1.164957124708e+00      -1.164957135972e+00      -1.553274330845e+00      -1.176147130428e+00       6.122359372867e-01       5.967752492959e-01       2.381814967228e-06       2.385544726228e-06       2.385548374689e-06       2.381569737879e-06       2.385401917390e-06 
       1.656220293823e-04      -1.554689797385e+00      -1.166020425668e+00      -1.166020452509e+00      -1.554689305733e+00      -1.177220583463e+00       6.122060913623e-01       5.967554410768e-01       3.771397933769e-06       3.780742572834e-06       3.780751180861e-06       3.770784555048e-06       3.780384358271e-06 
       2.085057815424e-04      -1.556928656625e+00      -1.167704193781e+00      -1.167704260773e+00      -1.556927423959e+00      -1.178920371971e+00       6.121592488196e-01       5.967244475886e-01       5.968437537645e-06       5.991847304191e-06       5.991868860633e-06       5.966900027128e-06       5.990949900681e-06 
       2.624932268897e-04      -1.560476582159e+00      -1.170376767116e+00      -1.170376934276e+00      -1.560473491121e+00      -1.181618230782e+00       6.120836185493e-01       5.966740320366e-01       9.437104124092e-06       9.495851707448e-06       9.495905461890e-06       9.433252303156e-06       9.493599469033e-06 
       3.304593937553e-04      -1.566085310555e+00      -1.174612501082e+00      -1.174612921450e+00      -1.566077559552e+00      -1.185893683350e+00       6.119636002112e-01       5.965939375123e-01       1.490103761333e-05       1.504843266061e-05       1.504856778783e-05       1.489139707086e-05       1.504278247555e-05 
       4.160237283646e-04      -1.574933611483e+00      -1.181321889018e+00      -1.181322945304e+00      -1.574914197819e+00      -1.192665092764e+00       6.117742651237e-01       5.964676730856e-01       2.347698605194e-05       2.384646898861e-05       2.384680877881e-05       2.345290990286e-05       2.383230765026e-05 
       5.237428435475e-04      -1.588861734191e+00      -1.191951436946e+00      -1.191954040594e+00      -1.588813270887e+00      -1.203390622638e+00       6.114746053051e-01       5.962676396697e-01       3.685942330430e-05       3.778486183773e-05       3.778569121756e-05       3.679956780759e-05       3.774938151865e-05 
       6.593531749873e-04      -1.610697502967e+00      -1.208787173479e+00      -1.208793759385e+00      -1.610576586546e+00      -1.220372857007e+00       6.110008713090e-01       5.959508479847e-01       5.754780604709e-05       5.986168325120e-05       5.986379459275e-05       5.739958947452e-05       5.977302489095e-05 
       8.300764673387e-04      -1.644707882323e+00      -1.235441379192e+00      -1.235457789188e+00      -1.644407823629e+00      -1.247244989556e+00       6.102535381747e-01       5.954499765342e-01       8.904537135882e-05       9.481607808072e-05       9.482130971700e-05       8.868186486143e-05       9.459503673404e-05 
       1.045004358465e-03      -1.697135219000e+00      -1.277613219496e+00      -1.277655137609e+00      -1.696394060076e+00      -1.289728078781e+00       6.090775881380e-01       5.946587700482e-01       1.357968707933e-04       1.501267431209e-04       1.501402015666e-04       1.349166787543e-04       1.495785836234e-04 
       1.315582542307e-03      -1.776596953684e+00      -1.344269143318e+00      -1.344374377835e+00      -1.774788754501e+00      -1.356792366430e+00       6.072361453241e-01       5.934128824622e-01       2.022184617259e-04       2.375686720377e-04       2.376024230643e-04       2.001383218791e-04       2.362183009764e-04 
       1.656220293823e-03      -1.893723525986e+00      -1.449443829048e+00      -1.449706457644e+00      -1.889401151993e+00      -1.462410896316e+00       6.043644046919e-01       5.914509151634e-01       2.893177603342e-04       3.756045301057e-04       3.756881222589e-04       2.846041177179e-04       3.723150781269e-04 
       2.085057815424e-03      -2.058560460678e+00      -1.615011391982e+00      -1.615676461367e+00      -2.048490961325e+00      -1.628219709796e+00       5.999473037904e-01       5.883897469321e-01       3.859189435302e-04       5.930084177026e-04       5.932201660474e-04       3.759256928666e-04       5.851434183351e-04 
       2.624932268897e-03      -2.272263450582e+00      -1.874668144721e+00      -1.876331304302e+00      -2.249877170035e+00      -1.887225740481e+00       5.932704245606e-01       5.836616262340e-01       4.503248550842e-04       9.342181091119e-04       9.347443864314e-04       4.317349796841e-04       9.159406647405e-04 
       3.304593937553e-03      -2.508748764233e+00      -2.279527970074e+00      -2.283686965599e+00      -2.462704241236e+00      -2.289002496626e+00       5.834335878929e-01       5.764589509316e-01       3.833670431348e-04       1.466829620584e-03       1.468135513334e-03       3.579333497121e-04       1.426262722728e-03 
       4.160237283646e-03      -2.685621504303e+00      -2.905354482193e+00      -2.915728606363e+00      -2.603135939177e+00      -2.906563167638e+00       5.695059486995e-01       5.657354927833e-01       2.471462298004e-05       2.291446585729e-03       2.294667289957e-03       2.122126262489e-05       2.207751048477e-03 
       5.237428435475e-03      -2.651422513219e+00      -3.860729880524e+00      -3.886493134607e+00      -2.538911208581e+00      -3.845702652614e+00       5.508951310447e-01       5.503324321901e-01      -7.071391637980e-04       3.553081954185e-03       3.560950065363e-03      -5.882088614949e-04       3.399215743101e-03 
